Sales by Customer Detail,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Norris Utilities, LLC",,,,,,,,,,,,,,,,,,,,,,,,,,,
All Dates,,,,,,,,,,,,,,,,,,,,,,,,,,,

,Transaction date,Transaction type,Num,Product/Service full name,Description,Quantity,Sales price,Amount,Balance,Customer full name,Class full name,Customer/Vendor message,Full name,Location full name,Location,Product/Service,Ship date,Service date,Ship via,SKU,Tax amount,Tax inclusive amount,Tax name,Transaction type,REF #,Payment method,Item class
,10/09/2024,Invoice,1215,Credit Card Processing:Credit Card Processing Fee,4% Credit Card Processing Fee,1.00,10.43,10.43,"2,604.20",AEP/SWEPCO - Shreveport:AEP/SWEPCO Fayetteville - Jimmy,Credit Card Processing Fee,"PO: Truck # 860378Ordered by: Jimmy BenzThank you, so very much, for the opportunity to work with you! We look forward to continuing to earn your business!*Credit Card Processing fee of 4% required for all Credit Card Payments*        Integrity above all else. Business Partners, simplified.",Credit Card Processing Fee Income,"AEP / SWEPCO - Shreveport, LA","AEP / SWEPCO - Shreveport, LA",Credit Card Processing Fee,10/09/2024,,UPS,4%,1.02,,AR-Washington-Fayetteville,Invoice,,Credit Card,Credit Card Processing Fee
,10/09/2024,Invoice,1215,,Shipping,,,32.50,"2,636.70",AEP/SWEPCO - Shreveport:AEP/SWEPCO Fayetteville - Jimmy,,"PO: Truck # 860378Ordered by: Jimmy BenzThank you, so very much, for the opportunity to work with you! We look forward to continuing to earn your business!*Credit Card Processing fee of 4% required for all Credit Card Payments*        Integrity above all else. Business Partners, simplified.",Shipping Income,"AEP / SWEPCO - Shreveport, LA","AEP / SWEPCO - Shreveport, LA",,10/09/2024,,UPS,,3.17,,AR-Washington-Fayetteville,Invoice,,Credit Card,
,10/14/2024,Invoice,1216,"Tooling and Equipment:FlexPro Armor Covers:FlexPro Armor Bucket Cover for 1.5-Man Bucket - 28"" x 34""","FlexPro Armor Guard Bucket Cover for 1.5-Man Bucket. Collapsible 3 Panel Rigid Design. Size: 28""x34"". Hand Made in the USA.",1.00,185.00,185.00,"2,821.70",AEP/SWEPCO - Shreveport:AEP/SWEPCO Fayetteville - Jimmy,NU Sold Products,"PO: Truck # 610278Ordered by: Jimmy BenzThank you, so very much, for the opportunity to work with you! We look forward to continuing to earn your business!*Credit Card Processing fee of 4% required for all Credit Card Payments*        Integrity above all else. Business Partners, simplified.",Sales of Product Income,"AEP / SWEPCO - Shreveport, LA","AEP / SWEPCO - Shreveport, LA","FlexPro Armor Bucket Cover for 1.5-Man Bucket - 28"" x 34""",10/14/2024,10/14/2024,UPS,NU-BC-2834,18.04,,AR-Washington-Fayetteville,Invoice,,Credit Card,NU Sold Products
,10/14/2024,Invoice,1216,Credit Card Processing:Credit Card Processing Fee,4% Credit Card Processing Fee,1.00,9.60,9.60,"2,831.30",AEP/SWEPCO - Shreveport:AEP/SWEPCO Fayetteville - Jimmy,Credit Card Processing Fee,"PO: Truck # 610278Ordered by: Jimmy BenzThank you, so very much, for the opportunity to work with you! We look forward to continuing to earn your business!*Credit Card Processing fee of 4% required for all Credit Card Payments*        Integrity above all else. Business Partners, simplified.",Credit Card Processing Fee Income,"AEP / SWEPCO - Shreveport, LA","AEP / SWEPCO - Shreveport, LA",Credit Card Processing Fee,10/14/2024,,UPS,4%,0.93,,AR-Washington-Fayetteville,Invoice,,Credit Card,Credit Card Processing Fee
,10/14/2024,Invoice,1216,,Shipping,,,32.50,"2,863.80",AEP/SWEPCO - Shreveport:AEP/SWEPCO Fayetteville - Jimmy,,"PO: Truck # 610278Ordered by: Jimmy BenzThank you, so very much, for the opportunity to work with you! We look forward to continuing to earn your business!*Credit Card Processing fee of 4% required for all Credit Card Payments*        Integrity above all else. Business Partners, simplified.",Shipping Income,"AEP / SWEPCO - Shreveport, LA","AEP / SWEPCO - Shreveport, LA",,10/14/2024,,UPS,,3.17,,AR-Washington-Fayetteville,Invoice,,Credit Card,
,10/14/2024,Invoice,1217,"Tooling and Equipment:FlexPro Armor Covers:FlexPro Armor Bucket Cover for 1.5-Man Bucket - 28"" x 34""","FlexPro Armor Guard Bucket Cover for 1.5-Man Bucket. Collapsible 3 Panel Rigid Design. Size: 28""x34"". Hand Made in the USA.",1.00,185.00,185.00,"3,048.80",AEP/SWEPCO - Shreveport:AEP/SWEPCO Fayetteville - Jimmy,NU Sold Products,"PO: Truck # 610146Ordered by: Jimmy BenzThank you, so very much, for the opportunity to work with you! We look forward to continuing to earn your business!*Credit Card Processing fee of 4% required for all Credit Card Payments*        Integrity above all else. Business Partners, simplified.",Sales of Product Income,"AEP / SWEPCO - Shreveport, LA","AEP / SWEPCO - Shreveport, LA","FlexPro Armor Bucket Cover for 1.5-Man Bucket - 28"" x 34""",10/14/2024,10/14/2024,UPS,NU-BC-2834,18.04,,AR-Washington-Fayetteville,Invoice,,Credit Card,NU Sold Products
,10/14/2024,Invoice,1217,Credit Card Processing:Credit Card Processing Fee,4% Credit Card Processing Fee,1.00,9.60,9.60,"3,058.40",AEP/SWEPCO - Shreveport:AEP/SWEPCO Fayetteville - Jimmy,Credit Card Processing Fee,"PO: Truck # 610146Ordered by: Jimmy BenzThank you, so very much, for the opportunity to work with you! We look forward to continuing to earn your business!*Credit Card Processing fee of 4% required for all Credit Card Payments*        Integrity above all else. Business Partners, simplified.",Credit Card Processing Fee Income,"AEP / SWEPCO - Shreveport, LA","AEP / SWEPCO - Shreveport, LA",Credit Card Processing Fee,10/14/2024,,UPS,4%,0.93,,AR-Washington-Fayetteville,Invoice,,Credit Card,Credit Card Processing Fee
,10/14/2024,Invoice,1217,,Shipping,,,32.50,"3,090.90",AEP/SWEPCO - Shreveport:AEP/SWEPCO Fayetteville - Jimmy,,"PO: Truck # 610146Ordered by: Jimmy BenzThank you, so very much, for the opportunity to work with you! We look forward to continuing to earn your business!*Credit Card Processing fee of 4% required for all Credit Card Payments*        Integrity above all else. Business Partners, simplified.",Shipping Income,"AEP / SWEPCO - Shreveport, LA","AEP / SWEPCO - Shreveport, LA",,10/14/2024,,UPS,,3.17,,AR-Washington-Fayetteville,Invoice,,Credit Card,
,10/21/2024,Invoice,1219,"Tooling and Equipment:FlexPro Armor Covers:FlexPro Armor Bucket Cover for 1.5-Man Bucket - 28"" x 34""","FlexPro Armor Guard Bucket Cover for 1.5-Man Bucket. Collapsible 3 Panel Rigid Design. Size: 28""x34"". Hand Made in the USA.",1.00,175.00,175.00,"3,265.90",AEP/SWEPCO - Shreveport:AEP/SWEPCO Fayetteville - Jimmy,NU Sold Products,"PO: Truck # 610146Ordered by: Jimmy BenzThank you, so very much, for the opportunity to work with you! We look forward to continuing to earn your business!*Credit Card Processing fee of 4% required for all Credit Card Payments*        Integrity above all else. Business Partners, simplified.",Sales of Product Income,"AEP / SWEPCO - Shreveport, LA","AEP / SWEPCO - Shreveport, LA","FlexPro Armor Bucket Cover for 1.5-Man Bucket - 28"" x 34""",10/21/2024,10/21/2024,UPS,NU-BC-2834,17.07,,AR-Washington-Fayetteville,Invoice,,Credit Card,NU Sold Products
,10/21/2024,Invoice,1219,Credit Card Processing:Credit Card Processing Fee,4% Credit Card Processing Fee,1.00,10.32,10.32,"3,276.22",AEP/SWEPCO - Shreveport:AEP/SWEPCO Fayetteville - Jimmy,Credit Card Processing Fee,"PO: Truck # 610146Ordered by: Jimmy BenzThank you, so very much, for the opportunity to work with you! We look forward to continuing to earn your business!*Credit Card Processing fee of 4% required for all Credit Card Payments*        Integrity above all else. Business Partners, simplified.",Credit Card Processing Fee Income,"AEP / SWEPCO - Shreveport, LA","AEP / SWEPCO - Shreveport, LA",Credit Card Processing Fee,10/21/2024,,UPS,4%,0.00,,AR-Washington-Fayetteville,Invoice,,Credit Card,Credit Card Processing Fee
,10/21/2024,Invoice,1219,,Shipping,,,55.00,"3,331.22",AEP/SWEPCO - Shreveport:AEP/SWEPCO Fayetteville - Jimmy,,"PO: Truck # 610146Ordered by: Jimmy BenzThank you, so very much, for the opportunity to work with you! We look forward to continuing to earn your business!*Credit Card Processing fee of 4% required for all Credit Card Payments*        Integrity above all else. Business Partners, simplified.",Shipping Income,"AEP / SWEPCO - Shreveport, LA","AEP / SWEPCO - Shreveport, LA",,10/21/2024,,UPS,,5.36,,AR-Washington-Fayetteville,Invoice,,Credit Card,
,11/07/2024,Invoice,1232,"Tooling and Equipment:FlexPro Armor Covers:FlexPro Armor Bucket Cover for 1.5-Man Bucket - 28"" x 34""","FlexPro Armor Guard Bucket Cover for 1.5-Man Bucket. Collapsible 3 Panel Rigid Design. Size: 28""x34"". Hand Made in the USA.",1.00,185.00,185.00,"3,516.22",AEP/SWEPCO - Shreveport:AEP/SWEPCO Fayetteville - Jimmy,NU Sold Products,"PO: Truck # 681290Ordered by: Jimmy BenzThank you, so very much, for the opportunity to work with you! We look forward to continuing to earn your business!*Credit Card Processing fee of 4% required for all Credit Card Payments*        Integrity above all else. Business Partners, simplified.",Sales of Product Income,"AEP / SWEPCO - Shreveport, LA","AEP / SWEPCO - Shreveport, LA","FlexPro Armor Bucket Cover for 1.5-Man Bucket - 28"" x 34""",11/07/2024,11/07/2024,UPS,NU-BC-2834,18.04,,AR-Washington-Fayetteville,Invoice,,Credit Card,NU Sold Products
,11/07/2024,Invoice,1232,Credit Card Processing:Credit Card Processing Fee,4% Credit Card Processing Fee,1.00,10.10,10.10,"3,526.32",AEP/SWEPCO - Shreveport:AEP/SWEPCO Fayetteville - Jimmy,Credit Card Processing Fee,"PO: Truck # 681290Ordered by: Jimmy BenzThank you, so very much, for the opportunity to work with you! We look forward to continuing to earn your business!*Credit Card Processing fee of 4% required for all Credit Card Payments*        Integrity above all else. Business Partners, simplified.",Credit Card Processing Fee Income,"AEP / SWEPCO - Shreveport, LA","AEP / SWEPCO - Shreveport, LA",Credit Card Processing Fee,11/07/2024,,UPS,4%,0.98,,AR-Washington-Fayetteville,Invoice,,Credit Card,Credit Card Processing Fee
,11/07/2024,Invoice,1232,,Shipping,,,45.00,"3,571.32",AEP/SWEPCO - Shreveport:AEP/SWEPCO Fayetteville - Jimmy,,"PO: Truck # 681290Ordered by: Jimmy BenzThank you, so very much, for the opportunity to work with you! We look forward to continuing to earn your business!*Credit Card Processing fee of 4% required for all Credit Card Payments*        Integrity above all else. Business Partners, simplified.",Shipping Income,"AEP / SWEPCO - Shreveport, LA","AEP / SWEPCO - Shreveport, LA",,11/07/2024,,UPS,,4.39,,AR-Washington-Fayetteville,Invoice,,Credit Card,
,12/05/2024,Invoice,1251,"Tooling and Equipment:FlexPro Armor Covers:FlexPro Armor Bucket Cover for 1.5-Man Bucket - 28"" x 34""","FlexPro Armor Guard Bucket Cover for 1.5-Man Bucket. Collapsible 3 Panel Rigid Design. Size: 28""x34"". Hand Made in the USA.",1.00,185.00,185.00,"3,756.32",AEP/SWEPCO - Shreveport:AEP/SWEPCO Fayetteville - Jimmy,NU Sold Products,"PO: Truck #610195Ordered by: Jimmy BenzThank you, so very much, for the opportunity to work with you! We look forward to continuing to earn your business!*Credit Card Processing fee of 4% required for all Credit Card Payments*        Integrity above all else. Business Partners, simplified.",Sales of Product Income,"AEP / SWEPCO - Shreveport, LA","AEP / SWEPCO - Shreveport, LA","FlexPro Armor Bucket Cover for 1.5-Man Bucket - 28"" x 34""",12/05/2024,12/04/2024,UPS,NU-BC-2834,18.04,,AR-Washington-Fayetteville,Invoice,,Credit Card,NU Sold Products
,12/05/2024,Invoice,1251,Credit Card Processing:Credit Card Processing Fee,4% Credit Card Processing Fee,1.00,10.55,10.55,"3,766.87",AEP/SWEPCO - Shreveport:AEP/SWEPCO Fayetteville - Jimmy,Credit Card Processing Fee,"PO: Truck #610195Ordered by: Jimmy BenzThank you, so very much, for the opportunity to work with you! We look forward to continuing to earn your business!*Credit Card Processing fee of 4% required for all Credit Card Payments*        Integrity above all else. Business Partners, simplified.",Credit Card Processing Fee Income,"AEP / SWEPCO - Shreveport, LA","AEP / SWEPCO - Shreveport, LA",Credit Card Processing Fee,12/05/2024,,UPS,4%,0.00,,AR-Washington-Fayetteville,Invoice,,Credit Card,Credit Card Processing Fee
,12/05/2024,Invoice,1251,,Shipping,,,55.00,"3,821.87",AEP/SWEPCO - Shreveport:AEP/SWEPCO Fayetteville - Jimmy,,"PO: Truck #610195Ordered by: Jimmy BenzThank you, so very much, for the opportunity to work with you! We look forward to continuing to earn your business!*Credit Card Processing fee of 4% required for all Credit Card Payments*        Integrity above all else. Business Partners, simplified.",Shipping Income,"AEP / SWEPCO - Shreveport, LA","AEP / SWEPCO - Shreveport, LA",,12/05/2024,,UPS,,5.36,,AR-Washington-Fayetteville,Invoice,,Credit Card,
,01/15/2025,Invoice,1274,Credit Card Processing:Credit Card Processing Fee,4% Credit Card Processing Fee,1.00,11.00,11.00,"3,832.87",AEP/SWEPCO - Shreveport:AEP/SWEPCO Fayetteville - Jimmy,Credit Card Processing Fee,"PO: Truck 610189Ordered by: Jimmy BenzThank you, so very much, for the opportunity to work with you! We look forward to continuing to earn your business!*Credit Card Processing fee of 4% required for all Credit Card Payments*        Integrity above all else. Business Partners, simplified.",Credit Card Processing Fee Income,"AEP / SWEPCO - Shreveport, LA","AEP / SWEPCO - Shreveport, LA",Credit Card Processing Fee,01/15/2025,01/15/2025,UPS,4%,1.07,,AR-Washington-Fayetteville,Invoice,,Credit Card,Credit Card Processing Fee
,01/15/2025,Invoice,1274,"Tooling and Equipment:FlexPro Armor Covers:FlexPro Armor Bucket Cover for 1.5-Man Bucket - 28"" x 34""","FlexPro Armor Guard Bucket Cover for 1.5-Man Bucket. Collapsible 3 Panel Rigid Design. Size: 28""x34"". Hand Made in the USA.",1.00,195.00,195.00,"4,027.87",AEP/SWEPCO - Shreveport:AEP/SWEPCO Fayetteville - Jimmy,NU Sold Products,"PO: Truck 610189Ordered by: Jimmy BenzThank you, so very much, for the opportunity to work with you! We look forward to continuing to earn your business!*Credit Card Processing fee of 4% required for all Credit Card Payments*        Integrity above all else. Business Partners, simplified.",Sales of Product Income,"AEP / SWEPCO - Shreveport, LA","AEP / SWEPCO - Shreveport, LA","FlexPro Armor Bucket Cover for 1.5-Man Bucket - 28"" x 34""",01/15/2025,,UPS,NU-BC-2834,19.01,,AR-Washington-Fayetteville,Invoice,,Credit Card,NU Sold Products
,01/15/2025,Invoice,1274,,Shipping,,,45.00,"4,072.87",AEP/SWEPCO - Shreveport:AEP/SWEPCO Fayetteville - Jimmy,,"PO: Truck 610189Ordered by: Jimmy BenzThank you, so very much, for the opportunity to work with you! We look forward to continuing to earn your business!*Credit Card Processing fee of 4% required for all Credit Card Payments*        Integrity above all else. Business Partners, simplified.",Shipping Income,"AEP / SWEPCO - Shreveport, LA","AEP / SWEPCO - Shreveport, LA",,01/15/2025,,UPS,,4.39,,AR-Washington-Fayetteville,Invoice,,Credit Card,
,03/05/2025,Invoice,1305,"Tooling and Equipment:FlexPro Armor Covers:FlexPro Armor Bucket Cover for 2-Man Bucket - 28"" x 51""","FlexPro Armor Guard Bucket Cover for 2-Man Bucket. Collapsible 3 Panel Rigid Design. Size: 28""x51"". Hand Made in the USA.",1.00,205.00,205.00,"4,277.87",AEP/SWEPCO - Shreveport:AEP/SWEPCO Fayetteville - Jimmy,NU Sold Products,"PO: Truck # 860387Ordered by: Jimmy BenzThank you, so very much, for the opportunity to work with you! We look forward to continuing to earn your business!*Credit Card Processing fee of 4% required for all Credit Card Payments*        Integrity above all else. Business Partners, simplified.",Tooling Sales,"AEP / SWEPCO - Shreveport, LA","AEP / SWEPCO - Shreveport, LA","FlexPro Armor Bucket Cover for 2-Man Bucket - 28"" x 51""",03/05/2025,03/04/2025,ups,NU-BC-2851,19.99,,AR-Washington-Fayetteville,Invoice,,Credit Card,NU Sold Products
,03/05/2025,Invoice,1305,Credit Card Processing:Credit Card Processing Fee,4% Credit Card Processing Fee,1.00,12.00,12.00,"4,289.87",AEP/SWEPCO - Shreveport:AEP/SWEPCO Fayetteville - Jimmy,Credit Card Processing Fee,"PO: Truck # 860387Ordered by: Jimmy BenzThank you, so very much, for the opportunity to work with you! We look forward to continuing to earn your business!*Credit Card Processing fee of 4% required for all Credit Card Payments*        Integrity above all else. Business Partners, simplified.",Credit Card Processing Fee Income,"AEP / SWEPCO - Shreveport, LA","AEP / SWEPCO - Shreveport, LA",Credit Card Processing Fee,03/05/2025,,ups,4%,1.17,,AR-Washington-Fayetteville,Invoice,,Credit Card,Credit Card Processing Fee
,03/05/2025,Invoice,1305,,Shipping,,,33.00,"4,322.87",AEP/SWEPCO - Shreveport:AEP/SWEPCO Fayetteville - Jimmy,,"PO: Truck # 860387Ordered by: Jimmy BenzThank you, so very much, for the opportunity to work with you! We look forward to continuing to earn your business!*Credit Card Processing fee of 4% required for all Credit Card Payments*        Integrity above all else. Business Partners, simplified.",Shipping Income,"AEP / SWEPCO - Shreveport, LA","AEP / SWEPCO - Shreveport, LA",,03/05/2025,,ups,,3.22,,AR-Washington-Fayetteville,Invoice,,Credit Card,
,03/05/2025,Invoice,1306,"Tooling and Equipment:FlexPro Armor Covers:FlexPro Armor Bucket Cover for 2-Man Bucket - 28"" x 51""","FlexPro Armor Guard Bucket Cover for 2-Man Bucket. Collapsible 3 Panel Rigid Design. Size: 28""x51"". Hand Made in the USA.",1.00,205.00,205.00,"4,527.87",AEP/SWEPCO - Shreveport:AEP/SWEPCO Fayetteville - Jimmy,NU Sold Products,"PO: Truck # 701091Ordered by: Jimmy BenzThank you, so very much, for the opportunity to work with you! We look forward to continuing to earn your business!*Credit Card Processing fee of 4% required for all Credit Card Payments*        Integrity above all else. Business Partners, simplified.",Tooling Sales,"AEP / SWEPCO - Shreveport, LA","AEP / SWEPCO - Shreveport, LA","FlexPro Armor Bucket Cover for 2-Man Bucket - 28"" x 51""",03/05/2025,03/04/2025,UPS,NU-BC-2851,19.99,,AR-Washington-Fayetteville,Invoice,,Credit Card,NU Sold Products
,03/05/2025,Invoice,1306,Credit Card Processing:Credit Card Processing Fee,4% Credit Card Processing Fee,1.00,12.00,12.00,"4,539.87",AEP/SWEPCO - Shreveport:AEP/SWEPCO Fayetteville - Jimmy,Credit Card Processing Fee,"PO: Truck # 701091Ordered by: Jimmy BenzThank you, so very much, for the opportunity to work with you! We look forward to continuing to earn your business!*Credit Card Processing fee of 4% required for all Credit Card Payments*        Integrity above all else. Business Partners, simplified.",Credit Card Processing Fee Income,"AEP / SWEPCO - Shreveport, LA","AEP / SWEPCO - Shreveport, LA",Credit Card Processing Fee,03/05/2025,,UPS,4%,1.17,,AR-Washington-Fayetteville,Invoice,,Credit Card,Credit Card Processing Fee
,03/05/2025,Invoice,1306,,Shipping,,,33.00,"4,572.87",AEP/SWEPCO - Shreveport:AEP/SWEPCO Fayetteville - Jimmy,,"PO: Truck # 701091Ordered by: Jimmy BenzThank you, so very much, for the opportunity to work with you! We look forward to continuing to earn your business!*Credit Card Processing fee of 4% required for all Credit Card Payments*        Integrity above all else. Business Partners, simplified.",Shipping Income,"AEP / SWEPCO - Shreveport, LA","AEP / SWEPCO - Shreveport, LA",,03/05/2025,,UPS,,3.22,,AR-Washington-Fayetteville,Invoice,,Credit Card,
,05/06/2025,Invoice,1348,"Tooling and Equipment:FlexPro Armor Covers:FlexPro Armor Bucket Cover for 1.5-Man Bucket - 28"" x 34""","FlexPro Armor Guard Bucket Cover for 1.5-Man Bucket. Collapsible 3 Panel Rigid Design. Size: 28""x34"". Hand Made in the USA.",1.00,195.00,195.00,"4,767.87",AEP/SWEPCO - Shreveport:AEP/SWEPCO Fayetteville - Jimmy,NU Sold Products,"PO: Truck 610279Ordered by: Jimmy BenzThank you, so very much, for the opportunity to work with you! We look forward to continuing to earn your business!*Credit Card Processing fee of 4% required for all Credit Card Payments*        Integrity above all else. Business Partners, simplified.",Sales of Product Income,"AEP / SWEPCO - Shreveport, LA:AEP / SWEPCO - Tulsa (deleted)",AEP / SWEPCO - Tulsa (deleted),"FlexPro Armor Bucket Cover for 1.5-Man Bucket - 28"" x 34""",05/06/2025,05/01/2025,UPS,NU-BC-2834,19.01,,AR-Washington-Fayetteville,Invoice,,Credit Card,NU Sold Products
,05/06/2025,Invoice,1348,Credit Card Processing:Credit Card Processing Fee,4% Credit Card Processing Fee,1.00,13.00,13.00,"4,780.87",AEP/SWEPCO - Shreveport:AEP/SWEPCO Fayetteville - Jimmy,Credit Card Processing Fee,"PO: Truck 610279Ordered by: Jimmy BenzThank you, so very much, for the opportunity to work with you! We look forward to continuing to earn your business!*Credit Card Processing fee of 4% required for all Credit Card Payments*        Integrity above all else. Business Partners, simplified.",Credit Card Processing Fee Income,"AEP / SWEPCO - Shreveport, LA:AEP / SWEPCO - Tulsa (deleted)",AEP / SWEPCO - Tulsa (deleted),Credit Card Processing Fee,05/06/2025,,UPS,4%,1.27,,AR-Washington-Fayetteville,Invoice,,Credit Card,Credit Card Processing Fee
,05/06/2025,Invoice,1348,,Shipping,,,45.00,"4,825.87",AEP/SWEPCO - Shreveport:AEP/SWEPCO Fayetteville - Jimmy,,"PO: Truck 610279Ordered by: Jimmy BenzThank you, so very much, for the opportunity to work with you! We look forward to continuing to earn your business!*Credit Card Processing fee of 4% required for all Credit Card Payments*        Integrity above all else. Business Partners, simplified.",Shipping Income,"AEP / SWEPCO - Shreveport, LA:AEP / SWEPCO - Tulsa (deleted)",AEP / SWEPCO - Tulsa (deleted),,05/06/2025,,UPS,,4.39,,AR-Washington-Fayetteville,Invoice,,Credit Card,
,07/28/2025,Invoice,1382,"Tooling and Equipment:FlexPro Armor Covers:FlexPro Armor Bucket Cover for 1.5-Man Bucket - 28"" x 34""","FlexPro Armor Guard Bucket Cover for 1.5-Man Bucket. Collapsible 3 Panel Rigid Design. Size: 28""x34"". Hand Made in the USA.",1.00,215.00,215.00,"5,040.87",AEP/SWEPCO - Shreveport:AEP/SWEPCO Fayetteville - Jimmy,NU Sold Products,"PO: 610220

Ordered by: Jimmy Benz


Thank you, so very much, for the opportunity to work with you! We look forward to continuing to earn your business!

*Credit Card Processing fee of 4% required for all Credit Card Payments*


        Integrity above all else. Business Partners, simplified.",Sales of Product Income,,,"FlexPro Armor Bucket Cover for 1.5-Man Bucket - 28"" x 34""",07/28/2025,07/25/2025,UPS,NU-BC-2834,20.96,,AR-Washington-Fayetteville,Invoice,,Credit Card,NU Sold Products
,07/28/2025,Invoice,1382,Credit Card Processing:Credit Card Processing Fee,4% Credit Card Processing Fee,1.00,13.00,13.00,"5,053.87",AEP/SWEPCO - Shreveport:AEP/SWEPCO Fayetteville - Jimmy,Credit Card Processing Fee,"PO: 610220

Ordered by: Jimmy Benz


Thank you, so very much, for the opportunity to work with you! We look forward to continuing to earn your business!

*Credit Card Processing fee of 4% required for all Credit Card Payments*


        Integrity above all else. Business Partners, simplified.",Credit Card Processing Fee Income,,,Credit Card Processing Fee,07/28/2025,,UPS,4%,1.27,,AR-Washington-Fayetteville,Invoice,,Credit Card,Credit Card Processing Fee
,07/28/2025,Invoice,1382,,Shipping,,,36.00,"5,089.87",AEP/SWEPCO - Shreveport:AEP/SWEPCO Fayetteville - Jimmy,,"PO: 610220

Ordered by: Jimmy Benz


Thank you, so very much, for the opportunity to work with you! We look forward to continuing to earn your business!

*Credit Card Processing fee of 4% required for all Credit Card Payments*


        Integrity above all else. Business Partners, simplified.",Shipping Income,,,,07/28/2025,,UPS,,3.51,,AR-Washington-Fayetteville,Invoice,,Credit Card,
,07/28/2025,Invoice,1383,"Tooling and Equipment:FlexPro Armor Covers:FlexPro Armor Bucket Cover for 2-Man Bucket - 28"" x 51""","FlexPro Armor Guard Bucket Cover for 2-Man Bucket. Collapsible 3 Panel Rigid Design. Size: 28""x51"". Hand Made in the USA.",1.00,225.00,225.00,"5,314.87",AEP/SWEPCO - Shreveport:AEP/SWEPCO Fayetteville - Jimmy,NU Sold Products,"PO: 860387

Ordered by: Jimmy Benz


Thank you, so very much, for the opportunity to work with you! We look forward to continuing to earn your business!

*Credit Card Processing fee of 4% required for all Credit Card Payments*


        Integrity above all else. Business Partners, simplified.",Tooling Sales,,,"FlexPro Armor Bucket Cover for 2-Man Bucket - 28"" x 51""",07/28/2025,07/25/2025,UPS,NU-BC-2851,21.94,,AR-Washington-Fayetteville,Invoice,,Credit Card,NU Sold Products
,07/28/2025,Invoice,1383,Credit Card Processing:Credit Card Processing Fee,4% Credit Card Processing Fee,1.00,13.00,13.00,"5,327.87",AEP/SWEPCO - Shreveport:AEP/SWEPCO Fayetteville - Jimmy,Credit Card Processing Fee,"PO: 860387

Ordered by: Jimmy Benz


Thank you, so very much, for the opportunity to work with you! We look forward to continuing to earn your business!

*Credit Card Processing fee of 4% required for all Credit Card Payments*


        Integrity above all else. Business Partners, simplified.",Credit Card Processing Fee Income,,,Credit Card Processing Fee,07/28/2025,,UPS,4%,1.27,,AR-Washington-Fayetteville,Invoice,,Credit Card,Credit Card Processing Fee
,07/28/2025,Invoice,1383,,Shipping,,,36.00,"5,363.87",AEP/SWEPCO - Shreveport:AEP/SWEPCO Fayetteville - Jimmy,,"PO: 860387

Ordered by: Jimmy Benz


Thank you, so very much, for the opportunity to work with you! We look forward to continuing to earn your business!

*Credit Card Processing fee of 4% required for all Credit Card Payments*


        Integrity above all else. Business Partners, simplified.",Shipping Income,,,,07/28/2025,,UPS,,3.51,,AR-Washington-Fayetteville,Invoice,,Credit Card,
,09/11/2025,Invoice,1417,"Tooling and Equipment:FlexPro Armor Covers:FlexPro Armor Bucket Cover for 2-Man Bucket - 28"" x 51""","FlexPro Armor Guard Bucket Cover for 2-Man Bucket. Collapsible 3 Panel Rigid Design. Size: 28""x51"". Hand Made in the USA.",1.00,235.00,235.00,"5,598.87",AEP/SWEPCO - Shreveport:AEP/SWEPCO Fayetteville - Jimmy,NU Sold Products,"PO:700280

Ordered by: Jimmy Benz


Thank you, so very much, for the opportunity to work with you! We look forward to continuing to earn your business!

*Credit Card Processing fee of 4% required for all Credit Card Payments*


        Integrity above all else. Business Partners, simplified.",Tooling Sales,,,"FlexPro Armor Bucket Cover for 2-Man Bucket - 28"" x 51""",09/12/2025,09/11/2025,UPS,NU-BC-2851,22.92,,AR-Washington-Fayetteville,Invoice,,Credit Card,NU Sold Products
,09/11/2025,Invoice,1417,Credit Card Processing:Credit Card Processing Fee,4% Credit Card Processing Fee,1.00,15.00,15.00,"5,613.87",AEP/SWEPCO - Shreveport:AEP/SWEPCO Fayetteville - Jimmy,Credit Card Processing Fee,"PO:700280

Ordered by: Jimmy Benz


Thank you, so very much, for the opportunity to work with you! We look forward to continuing to earn your business!

*Credit Card Processing fee of 4% required for all Credit Card Payments*


        Integrity above all else. Business Partners, simplified.",Credit Card Processing Fee Income,,,Credit Card Processing Fee,09/12/2025,,UPS,4%,1.46,,AR-Washington-Fayetteville,Invoice,,Credit Card,Credit Card Processing Fee
,09/11/2025,Invoice,1417,,Shipping,,,80.00,"5,693.87",AEP/SWEPCO - Shreveport:AEP/SWEPCO Fayetteville - Jimmy,,"PO:700280

Ordered by: Jimmy Benz


Thank you, so very much, for the opportunity to work with you! We look forward to continuing to earn your business!

*Credit Card Processing fee of 4% required for all Credit Card Payments*


        Integrity above all else. Business Partners, simplified.",Shipping Income,,,,09/12/2025,,UPS,,7.80,,AR-Washington-Fayetteville,Invoice,,Credit Card,
